OBJECTID,GEOID,STATE,COUNTY,TRACT,LOWMOD,LOWMODUNIV,LOWMODPCT,UCLMOD,UCLMODU,UCLMODPCT,SHAPE_Length,SHAPE_Area
38585,47157002900,47,157,002900,1170,4440,26.35,NA,NA,NA,0.0864965792598239,4.0645073298201e-4
38587,47157021752,47,157,021752,570,4110,13.87,NA,NA,NA,0.093491771740172,4.0245029286023e-4
38588,47157021753,47,157,021753,555,3125,17.76,NA,NA,NA,0.0581839799027674,2.0065077921395e-4
38589,47157010500,47,157,010500,1960,2620,74.81,NA,NA,NA,0.101473282621417,4.5350741526686e-4
38594,47157021721,47,157,021721,2840,4185,67.86,NA,NA,NA,0.0603526234754975,1.9145985543759e-4
38595,47157001500,47,157,001500,1335,1755,76.07,NA,NA,NA,0.0485943623459821,1.3565659846046e-4
38597,47157022310,47,157,022310,3115,5005,62.24,NA,NA,NA,0.106758165401716,6.4974623712802e-4
38598,47157022322,47,157,022322,2095,4250,49.29,NA,NA,NA,0.087220227010194,4.0981215610792e-4
38599,47157003000,47,157,003000,1415,2700,52.41,NA,NA,NA,0.0680705192527875,1.9907832503925e-4
38600,47157011020,47,157,011020,970,1715,56.56,NA,NA,NA,0.0901291191559138,4.7197234082098e-4
38601,47157006500,47,157,006500,1940,2635,73.62,NA,NA,NA,0.0692395863592824,2.1080112432101e-4
38614,47157009200,47,157,009200,1390,7030,19.77,NA,NA,NA,0.120682258611306,6.7274869966456e-4
38615,47157022220,47,157,022220,3280,4350,75.4,NA,NA,NA,0.124005153808669,6.9793173673524e-4
38626,47157021510,47,157,021510,1530,7150,21.4,NA,NA,NA,0.17846290907336,0.00192778342641569
38645,47157021121,47,157,021121,1435,4250,33.76,NA,NA,NA,0.154272635910477,7.1486385976396e-4
38646,47157021135,47,157,021135,1840,6220,29.58,NA,NA,NA,0.102489237933665,4.2352729553534e-4
38660,47157021520,47,157,021520,1310,9275,14.12,NA,NA,NA,0.334256151505794,0.0048023108798586
38661,47157010710,47,157,010710,2020,4845,41.69,NA,NA,NA,0.0774288614084909,3.8911823311555e-4
38662,47157010720,47,157,010720,1885,3495,53.93,NA,NA,NA,0.0494498207055999,1.3905063660944e-4
38663,47157010810,47,157,010810,3285,5395,60.89,NA,NA,NA,0.0648205844931104,2.3503393142145e-4
38664,47157011010,47,157,011010,2305,3820,60.34,NA,NA,NA,0.0835214552231823,2.7931170575402e-4
38669,47157020541,47,157,020541,2100,4915,42.73,NA,NA,NA,0.0945917765256109,4.5414327163418e-4
38670,47157020542,47,157,020542,3610,5105,70.71,NA,NA,NA,0.0850171572743694,4.5144489270218e-4
38671,47157021200,47,157,021200,NA,NA,0,NA,NA,NA,0.0763243083774543,2.2512734081795e-4
38672,47157021320,47,157,021320,1430,6060,23.6,NA,NA,NA,0.112230106053776,5.859927977546e-4
38691,47157021620,47,157,021620,1485,2615,56.79,NA,NA,NA,0.152349858175016,0.00119688270137929
38692,47157021611,47,157,021611,690,6170,11.18,NA,NA,NA,0.0962609834116655,5.2090959777851e-4
38769,47157010300,47,157,010300,1455,1860,78.23,NA,NA,NA,0.133370439159226,5.5549913817803e-4
38770,47157010820,47,157,010820,1285,4400,29.2,NA,NA,NA,0.0648494593530869,2.2250433946995e-4
38784,47157010610,47,157,010610,3800,6440,59.01,NA,NA,NA,0.0830614682882972,3.8564824551517e-4
38807,47157010620,47,157,010620,2200,3550,61.97,NA,NA,NA,0.0503404105743911,1.3530246396636e-4
38808,47157011400,47,157,011400,3010,3415,88.14,NA,NA,NA,0.0826488641999526,2.8229548870047e-4
38809,47157011600,47,157,011600,1715,2160,79.4,NA,NA,NA,0.0533327255602461,1.5143138340603e-4
38855,47157002000,47,157,002000,1015,1425,71.23,NA,NA,NA,0.0429222750352377,9.55260120369868e-5
38856,47157002100,47,157,002100,560,825,67.88,NA,NA,NA,0.0385136979453198,7.82762735035471e-5
38857,47157002400,47,157,002400,1460,1800,81.11,NA,NA,NA,0.0455794072655349,1.2231002889886e-4
38858,47157002500,47,157,002500,1735,3085,56.24,NA,NA,NA,0.0533373334439529,1.608653889071e-4
38868,47157021010,47,157,021010,2570,12930,19.88,NA,NA,NA,0.338887274819319,0.00573206289358566
38875,47157020511,47,157,020511,1075,2250,47.78,NA,NA,NA,0.0976102967381966,3.74504245981e-4
38902,47157021410,47,157,021410,160,2735,5.85,NA,NA,NA,0.0925208639821511,2.5381973829102e-4
38922,47157010630,47,157,010630,2415,3480,69.4,NA,NA,NA,0.0557626246277382,1.7793753496002e-4
38956,47157008900,47,157,008900,3225,4285,75.26,NA,NA,NA,0.115526598068367,6.1230050421409e-4
38958,47157022022,47,157,022022,3360,4655,72.18,NA,NA,NA,0.0985575424248675,4.8592610314168e-4
38970,47157003100,47,157,003100,1360,3105,43.8,NA,NA,NA,0.0769663415779914,2.7719454231948e-4
38971,47157003200,47,157,003200,1620,3255,49.77,NA,NA,NA,0.0483642524803852,1.4161673716245e-4
38972,47157003300,47,157,003300,450,2440,18.44,NA,NA,NA,0.0455863872373015,1.1103949785757e-4
38973,47157003400,47,157,003400,1055,2060,51.21,NA,NA,NA,0.0399682560971065,9.08282871339788e-5
39026,47157003500,47,157,003500,520,2675,19.44,NA,NA,NA,0.0496167165550098,1.3976093323382e-4
39034,47157003600,47,157,003600,1155,1910,60.47,NA,NA,NA,0.0471016583270491,1.19986961536e-4
39074,47157021430,47,157,021430,545,4105,13.28,NA,NA,NA,0.108744692182021,3.9880575370882e-4
39075,47157000100,47,157,000100,1395,5410,25.79,NA,NA,NA,0.131442504079398,6.6658246711632e-4
39076,47157000300,47,157,000300,850,1300,65.38,NA,NA,NA,0.0824662833057122,2.851126692794e-4
39077,47157000400,47,157,000400,1230,1470,83.67,NA,NA,NA,0.0669542791631319,2.3431797096143e-4
39091,47157021141,47,157,021141,1095,6560,16.69,NA,NA,NA,0.102296264890268,3.8816889331496e-4
39092,47157020635,47,157,020635,580,3015,19.24,NA,NA,NA,0.0560883023899468,1.81913212641e-4
39093,47157011200,47,157,011200,1765,2010,87.81,NA,NA,NA,0.0478304785347027,1.1899828977302e-4
39111,47157011100,47,157,011100,1045,1715,60.93,NA,NA,NA,0.0948401565209095,4.0357631554636e-4
39112,47157011300,47,157,011300,1385,1735,79.83,NA,NA,NA,0.065905682443713,1.8874942993246e-4
39129,47157022600,47,157,022600,1980,3190,62.07,NA,NA,NA,0.286824663996131,0.00398441789375375
39130,47157004300,47,157,004300,115,1250,9.2,NA,NA,NA,0.06255750112247,1.6663668436342e-4
39188,47157005300,47,157,005300,2990,3705,80.7,NA,NA,NA,0.109917449261218,6.3382685368554e-4
39234,47157020832,47,157,020832,820,7750,10.58,NA,NA,NA,0.213084268980553,0.0024777347001861
39272,47157000600,47,157,000600,2570,2935,87.56,NA,NA,NA,0.0993972892647689,5.0349915682388e-4
39305,47157021142,47,157,021142,795,3425,23.21,NA,NA,NA,0.0957088921485596,4.2341982760919e-4
39306,47157020831,47,157,020831,1040,4065,25.58,NA,NA,NA,0.0985928047601199,3.6938236870842e-4
39326,47157010000,47,157,010000,5745,8365,68.68,NA,NA,NA,0.110759832685051,5.4647772816442e-4
39327,47157010110,47,157,010110,4460,7090,62.91,NA,NA,NA,0.0997815452855383,4.1545320894451e-4
39328,47157010120,47,157,010120,5405,6570,82.27,NA,NA,NA,0.134328848468916,7.3934718463318e-4
39329,47157021312,47,157,021312,850,2220,38.29,NA,NA,NA,0.0618302410268197,1.361836578935e-4
39341,47157020532,47,157,020532,2685,5960,45.05,NA,NA,NA,0.129551085662907,7.8791071161868e-4
39342,47157022122,47,157,022122,1290,3645,35.39,NA,NA,NA,0.064599381870694,2.5861378037202e-4
39381,47157021331,47,157,021331,275,3445,7.98,NA,NA,NA,0.125280409957113,4.8719120015767e-4
39465,47157000700,47,157,000700,3220,4585,70.23,NA,NA,NA,0.0818902623161007,2.4713231154904e-4
39466,47157000800,47,157,000800,1935,2565,75.44,NA,NA,NA,0.0679385394414655,2.1690119197561e-4
39693,47157021126,47,157,021126,1105,4015,27.52,NA,NA,NA,0.0666338650772892,2.416912612829e-4
39694,47157022121,47,157,022121,1645,4455,36.92,NA,NA,NA,0.0886692000226813,4.3189482723543e-4
